DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CODIGO_CARGO,NUM_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,COD_SIT_CAND_SUPERIOR,DESC_SIT_CAND_SUPERIOR,CODIGO_SIT_CANDIDATO,DESC_SIT_CANDIDATO,CODIGO_SIT_CAND_TOT,DESC_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SEQUENCIAL_LEGENDA,NOME_COLIGACAO,COMPOSICAO_LEGENDA,TOTAL_VOTOS,CD_GENERO,DS_GENERO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,RO,RO,5,-1,-1,CARLOS AUGUSTO GODOY,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,5,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,66374,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,RO,RO,5,-1,-1,CLAUDIONOR COUTO RURIZ,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,1,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,,,94143,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,RO,RO,5,-1,-1,DJAIR INJALECIO VALENSI PRIETO,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,5,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,64954,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,RO,RO,5,-1,-1,JERONIMO GARCIA DE SANTANA,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,5,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,67188,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,RO,RO,5,-1,-1,JOSIAS GALVAO DE LIMA,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,3,PT,PARTIDO DOS TRABALHADORES,-1,,,5824,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,RO,RO,5,-1,-1,ODACIR SOARES RODRIGUES,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,1,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,,,96657,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,RO,RO,5,-1,-1,ODAIR CARNEIRO,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,3,PT,PARTIDO DOS TRABALHADORES,-1,,,5957,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,RO,RO,5,-1,-1,ONOFRE AIRTON KOJO,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,3,PT,PARTIDO DOS TRABALHADORES,-1,,,5887,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,RO,RO,5,-1,-1,REYNALDO GALVAO MODESTO,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,1,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,,,94794,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,RO,RO,6,-1,-1,ABELARDO TOWNES DE CASTRO FILHO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,5,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,2089,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,RO,RO,6,-1,-1,AFONSO FELIPE DOS SANTOS ,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,4,NAO ELEITO,3,PT,PARTIDO DOS TRABALHADORES,-1,,,296,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,RO,RO,6,-1,-1,ASSIS CANUTO ,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,1,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,,,9382,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,RO,RO,6,-1,-1,CAIO MARCELO GALO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,5,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,737,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,RO,RO,6,-1,-1,FRANCISCO JOSE CHIQUILITO ERSE ,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,1,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,,,20506,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,RO,RO,6,-1,-1,FRANCISCO SALES DUARTE AZEVEDO ,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,1,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,,,9772,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,RO,RO,6,-1,-1,ISAAC NEWTON ,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,1,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,,,5759,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,RO,RO,6,-1,-1,JOAO LUCENA ,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,1,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,,,9053,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,RO,RO,6,-1,-1,JOAQUIM DIAS BARREIRA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,4,NAO ELEITO,3,PT,PARTIDO DOS TRABALHADORES,-1,,,721,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,RO,RO,6,-1,-1,JOSE NEUMAR DA SILVEIRA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,4,NAO ELEITO,3,PT,PARTIDO DOS TRABALHADORES,-1,,,4590,2.0,MASCULINO
